B.Sc. (Hons.) Physics,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Hons.)%20Physics"
B.Sc. (Hons.) Polymer Science,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Hons.)%20Polymer%20Science"
B.Sc. (Hons.) Statistics,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc%20(Hons.)%20Statistics"
B.Sc. (Hons.) Zoology,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Hons.)%20Zoology"
B.Tech. Information Technology and Mathematical Innovations (IT & MI),"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Tech.%20Information%20Technology%20and%20Mathematical%20Innovation%20(IT&MI)"
B.Sc. (Prog.) Applied Life Science,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Applied%20Life%20Science"
B.Sc. (Prog.) Applied Physical Sciences with Analytical Methods in Chemistry & Biochemistry,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Applied%20Physical%20Science%20with%20Analytical%20Methods%20in%20Chemistry%20&%20Biochemistry"
B.Sc. (Prog.) Applied Physical Sciences with Industrial Chemistry,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Applied%20Physical%20Science%20with%20Industrial%20Chemistry"
B.Sc. (Pass) Home Science,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Pass)%20Home%20Science"
B.Sc. (Prog.) Life Science,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Life%20Science"
B.Sc. (Prog.) Mathematical Sciences,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Mathematical%20Science"
"B.Sc. Physical Education, Health Education and Sports (B.Sc. PE, HE & S)","https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20In%20Physical%20Education,%20Health%20Education%20&%20Sports"
B.Sc. (Prog.) Physical Science with Chemistry,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Physical%20Science%20with%20Chemistry"
B.Sc. (Prog.) Physical Science with Electronics,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Physical%20Science%20with%20Electronics"
B.Sc. (Prog.) Physical Science with Computer Science/Informatics Practices,"https://dudesk.in/courses/details/Science,%20Mathematics%20and%20Technology/B.Sc.%20(Prog.)%20Physical%20Science%20with%20Computer%20Science_Informatics%20Practices"
Commerce & Management Courses at DU,
B.Com. (Hons.),https://dudesk.in/courses/details/Commerce%20&%20Management/B.Com.%20(Hons.)
B.Com.,https://dudesk.in/courses/details/Commerce%20&%20Management/B.Com
