List A,List B1,List B2
Arabic,Accountancy / Book keeping,Agriculture
Assamese,Anthropology,Engineering Graphics
Bengali,Biology / Biological Studies / Biotechnology / Biochemistry,Entrepreneurship
Bodo,Business Studies,Fine Arts / Visual Arts (Sculpture/Painting)/ Commercial Art
Chinese,Chemistry,Knowledge Traditions and Practices of India (KTPI)
Dogri,Computer Science / Informatics Practices,Mass Media / Mass Communication
English,Economics / Business Economics,Performing Arts
French,Environmental Studies,Physical Education / NCC / Yoga
German,Geography / Geology,Teaching Aptitude
Gujarati,History,
Hindi,Home Science,
Italian,Legal Studies,
Japanese,Mathematics / Applied Mathematics,
Kannada,Physics,
Kashmiri,Political Science,
Konkani,Psychology,
Maithili,Sanskrit,
Malayalam,Sociology,
Manipuri,,
Marathi,,
Nepali,,
Odia,,
Persian,,
Punjabi,,
Russian,,
Sanskrit,,
Santhali,,
Sindhi,,
Spanish,,
Tamil,,
Telugu,,
Tibetan,,
Urdu,,
"Annexure – I
B.A. Program Combinations",,,,,,,,,,,
Aditi Mahavidyalaya (W),,,,,,,,,,,
19,B.A Program (Sanskrit + Political Science),19,13,7,4,5,0,0,2,2,1
,TOTAL,203,136,79,41,51,0,0,26,26,17
,,,,,,,,,,,
Bharati College (W),,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Computer Applications + Economics),10,5,3,1,2,0,0,1,1,1
2,B.A Program (Computer Applications + Political Science),9,6,4,2,2,0,0,1,1,1
3,B.A Program (Economics + OMSP),7,4,2,1,1,0,0,1,1,1
4,B.A Program (Economics + Political Science),9,7,4,2,3,0,0,1,1,1
5,B.A Program (History + Music),7,4,2,1,1,0,0,1,1,1
6,B.A Program (History + OMSP),4,3,2,1,1,0,0,1,1,1
7,B.A Program (History + Political Science),10,7,4,2,3,0,0,1,1,1
8,B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),12,8,5,2,3,0,0,1,1,1
9,B.A Program (Music + Political Science),6,4,2,1,1,0,0,1,1,1
10,B.A Program (Punjabi + History),2,2,1,0,1,0,0,0,0,0
11,B.A Program (Sanskrit + Economics),3,2,1,1,1,0,0,1,1,1
12,B.A Program (Punjabi + Economics),3,3,2,1,1,0,0,1,1,1
13,B.A Program (Sanskrit + History),11,7,4,2,3,0,0,1,1,1
,TOTAL,93,62,36,17,23,0,0,12,12,12
,,,,,,,,,,,
Daulat Ram College (W),,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Economics + Mathematics),10,6,3,1,2,0,0,1,1,1
2,B.A Program (English + History),10,5,4,1,1,0,0,1,1,1
3,"B.A Program (Entrepreneurship And Small Business
+ Nutrition And Health Education)",9,6,3,2,2,0,0,1,1,1
4,B.A Program (Hindi + Physical Education),10,8,5,2,4,0,0,1,1,1
5,B.A Program (History + Political Science),9,6,3,2,2,0,0,1,2,1
6,B.A Program (Music + Nutrition And Health Education(NHE)),9,6,3,2,2,0,0,2,1,2
7,B.A Program (Philosophy + Psychology),9,6,3,2,2,0,0,1,1,1
8,B.A Program (Physical Education + Political Science),10,8,5,2,4,0,0,1,1,1
9,B.A Program (Sanskrit + Music),9,6,3,2,2,0,0,1,1,1
,TOTAL,85,57,32,16,21,0,0,10,10,10
,,,,,,,,,,,
Deen Dayal Upadhyaya College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Economics + History),16,11,6,3,4,0,0,2,2,2
2,B.A Program (Economics + Political Science),16,11,6,3,4,0,0,2,2,2
3,B.A Program (History + Political Science),16,11,6,3,4,0,0,2,2,2
,TOTAL,48,33,18,9,12,0,0,6,6,6
,,,,,,,,,,,
Delhi College of Arts and Commerce,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Accounting and Finance + Computer Applications),5,4,2,1,2,0,0,1,1,1
2,"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Economics)",6,3,3,1,2,0,0,1,1,1
3,B.A Program (Computer Applications + Mathematics),6,4,2,1,1,0,0,1,1,1
4,B.A Program (Economics + Human Resource Management (HRM)),6,4,2,1,2,0,0,1,1,1
5,B.A Program (Economics + Mathematics),6,3,3,1,1,0,0,0,0,0
6,B.A Program (English + German),6,4,2,1,1,0,0,0,0,0
7,B.A Program (English + Spanish),6,4,2,1,1,0,0,0,0,0
8,B.A Program (Hindi + History),6,4,2,1,2,0,0,1,1,1
9,B.A Program (Hindi + Physical Education),5,4,2,2,1,0,0,0,0,0
10,B.A Program (Hindi + Political Science),6,4,2,1,1,0,0,1,1,1
11,B.A Program (History + Political Science),6,4,2,1,1,0,0,1,1,1
12,B.A Program (Operational Research (OR) + Computer Applications),5,4,2,1,2,0,0,1,1,1
,TOTAL,69,46,26,13,17,0,0,8,8,8
,,,,,,,,,,,
Deshbandhu College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Bengali + History),3,2,0,0,0,0,0,0,0,0
2,B.A Program (Bengali + Political Science),3,1,0,0,1,0,0,0,0,0
3,B.A Program (Economics + History),3,1,1,0,1,0,0,1,1,1
4,B.A Program (Economics + Mathematics),2,1,1,0,1,0,0,1,1,1
5,B.A Program (Economics + Philosophy),2,1,1,0,1,0,0,0,0,0
6,B.A Program (Economics + Political Science),3,3,3,2,2,0,0,1,1,1
7,B.A Program (Economics + Sanskrit),3,2,1,0,0,0,0,0,0,0
8,B.A Program (Economics + English),3,4,1,1,1,0,0,1,1,1
9,B.A Program (English + History),4,2,1,0,1,0,0,1,1,1
10,B.A Program (English + Mathematics),2,1,1,0,1,0,0,1,1,1
11,B.A Program (English + Philosophy),5,4,3,1,2,0,0,0,0,0
12,B.A Program (English + Political Science),4,4,2,1,1,0,0,1,1,1
13,B.A Program (Economics + Hindi),2,1,1,1,0,0,0,0,0,0
14,B.A Program (Hindi + History),4,2,1,1,1,0,0,1,1,1
15,B.A Program (Hindi + Philosophy),2,1,1,0,1,0,0,0,0,0
16,B.A Program (Hindi + Political Science),4,2,1,1,1,0,0,1,1,1
17,B.A Program (History + Mathematics),2,1,1,0,1,0,0,0,0,0
18,B.A Program (History + Philosophy),3,2,1,1,0,0,0,0,0,0
19,B.A Program (History + Political Science),19,16,7,4,3,0,0,3,3,3
20,B.A Program (Punjabi + Political Science),3,1,0,0,1,0,0,0,0,0
21,B.A Program (History + Punjabi),3,1,0,0,1,0,0,0,0,0
22,B.A Program (Mathematics + Philosophy),2,1,1,0,1,0,0,0,0,0
23,B.A Program (Mathematics + Political Science),2,1,1,0,1,0,0,0,0,0
24,B.A Program (Philosophy + Political Science),3,2,1,1,1,0,0,0,0,0
25,B.A Program (History + Sanskrit),4,2,1,2,0,0,0,0,0,0
26,B.A Program (Sanskrit + Philosophy),1,3,1,0,0,0,0,0,0,0
27,B.A Program (History + Sindhi),2,1,1,1,0,0,0,0,0,0
28,B.A Program (Sanskrit + Political Science),3,1,1,1,0,0,0,0,0,0
,TOTAL,96,64,35,18,24,0,0,12,12,12
,,,,,,,,,,,
Dr. Bhim Rao Ambedkar College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Economics + Geography),15,10,6,3,4,0,0,1,2,2
2,B.A Program (Economics + Human Resource Management (HRM)),8,4,5,2,1,0,0,1,1,1
3,B.A Program (Economics + Mathematics),11,8,4,3,3,0,0,1,1,2
4,B.A Program (Economics + OMSP),9,6,4,2,3,0,0,1,1,2
5,B.A Program (English + History),11,9,4,2,3,0,0,1,1,1
6,B.A Program (English + Psychology),8,6,3,2,2,0,0,0,1,1
7,B.A Program (Geography + Psychology),8,5,3,2,1,0,0,1,1,1
8,B.A Program (Hindi + History),11,9,4,2,3,0,0,2,1,1
9,B.A Program (Hindi + Political Science),16,13,6,3,7,0,0,2,2,2
10,B.A Program (History + Political Science),20,14,7,4,5,0,0,3,3,3
11,B.A Program (Human Resource Management (HRM) + Mathematics),4,2,2,1,1,0,0,0,1,0
12,B.A Program (Human Resource Management (HRM) + Psychology),6,3,2,1,1,0,0,1,1,1
13,B.A Program (Office Management & Secretarial Practice (OMSP) + Political Science),6,4,2,1,1,0,0,1,0,0
14,B.A Program (Sanskrit + OMSP),6,3,2,1,1,0,0,0,0,0
15,B.A Program (Sanskrit + Political Science),6,3,2,1,1,0,0,1,1,0
16,B.A Program (Urdu + History),9,5,3,1,1,0,0,1,1,1
17,B.A Program (Urdu + Political Science),10,5,2,1,1,0,0,1,1,1
,TOTAL,164,109,61,32,39,0,0,18,19,19
,,,,,,,,,,,
Dyal Singh College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Bengali + Geography),3,1,1,0,0,0,0,0,0,0
2,B.A Program (Bengali + History),3,2,2,1,1,0,0,1,1,0
3,B.A Program (Bengali + Political Science),4,3,2,1,1,0,0,1,1,1
4,B.A Program (Commerce + Economics),9,6,3,2,2,0,0,2,1,0
5,B.A Program (Economics + Geography),3,1,1,0,0,0,0,0,0,0
6,B.A Program (Economics + History),2,1,1,0,1,0,0,0,0,0
7,B.A Program (Economics + Mathematics),5,3,2,1,1,0,0,1,1,1
8,B.A Program (Economics + Philosophy),2,2,1,0,1,0,0,0,0,1
9,B.A Program (Economics + Political Science),2,1,1,0,0,0,0,0,0,0
10,B.A Program (English + Economics),3,2,1,0,1,0,0,1,1,0
11,B.A Program (English + History),3,2,1,0,1,0,0,0,0,0
12,B.A Program (English + Political Science),3,2,1,1,1,0,0,0,0,1
13,B.A Program (Geography + History),2,1,1,1,0,0,0,0,0,0
14,B.A Program (Geography + Mathematics),4,3,2,0,1,0,0,1,1,1
15,B.A Program (Geography + Political Science),2,1,1,0,0,0,0,0,0,0
16,B.A Program (Hindi + Geography),2,3,1,0,1,0,0,0,0,0
17,B.A Program (Hindi + History),4,2,1,0,1,0,0,1,0,1
18,B.A Program (Hindi + Political Science),2,2,1,1,1,0,0,0,1,0
19,B.A Program (History + Philosophy),3,2,1,1,1,0,0,0,1,0
20,B.A Program (History + Political Science),3,2,1,1,0,0,0,0,1,1
21,B.A Program (Philosophy + Political Science),3,2,1,1,1,0,0,0,0,1
22,B.A Program (Punjabi + Economics),2,2,1,0,1,0,0,0,0,0
23,B.A Program (Punjabi + History),3,2,1,1,1,0,0,0,0,1
24,B.A Program (Punjabi + Political Science),3,2,1,1,1,0,0,1,1,0
25,B.A Program (Sanskrit + Geography),2,2,1,0,1,0,0,0,0,0
26,B.A Program (Sanskrit + History),3,2,1,1,1,0,0,1,1,0
27,B.A Program (Sanskrit + Political Science),4,2,1,1,0,0,0,0,0,1
28,B.A Program (Urdu + Economics),2,2,1,0,1,0,0,0,0,1
29,B.A Program (Urdu + History),3,2,1,1,1,0,0,0,0,1
30,B.A Program (Urdu + Political Science),4,2,1,1,0,0,0,1,1,0
,TOTAL,93,62,36,17,23,0,0,11,12,12
,,,,,,,,,,,
Dyal Singh College (Evening),,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Computer Applications + Economics),24,17,9,4,6,0,0,3,3,3
2,B.A Program (Human Resource Management (HRM) + Economics),24,17,9,4,6,0,0,3,3,3
3,B.A Program (Entrepreneurship and Small Business (ESB) + History),12,8,5,2,3,0,0,2,2,2
4,B.A Program (Entrepreneurship and Small Business (ESB) + Political Science),13,8,5,2,3,0,0,1,1,1
5,B.A Program (Political Science + History),12,8,5,2,3,0,0,2,2,2
6,B.A Program (Political Science + Economics),12,8,4,3,4,0,0,1,1,1
